Year,SERIES,Reference area,Degree of urbanisation,COMPOSITE_BREAKDOWN,UNIT_MEASURE,GeoCode,Value
1993,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,8.6
1996,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,15.4
1997,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,16.7
1999,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,18.4
2004,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,24.7
2007,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,30.5
2008,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,32.8
2009,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,34.0
2010,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,40.0
2011,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,43.6
2012,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,45.2
2013,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,51.7
2014,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,55.9
2015,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,61.8
2016,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,72.9
2017,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,76.0
2019,6.2.1 Proportion of population using an improved sanitation facility,,,,Percent,,80.36
2008,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour Flush Connected To Sewerage,Percent,,9.7
2009,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour Flush Connected To Sewerage,Percent,,9.6
2010,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour Flush Connected To Sewerage,Percent,,9.1
2011,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour Flush Connected To Sewerage,Percent,,9.0
2012,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour Flush Connected To Sewerage,Percent,,10.4
2013,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour Flush Connected To Sewerage,Percent,,11.3
2014,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour Flush Connected To Sewerage,Percent,,12.4
2015,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour Flush Connected To Sewerage,Percent,,12.6
2016,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour Flush Connected To Sewerage,Percent,,13.4
2017,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour Flush Connected To Sewerage,Percent,,11.9
2019,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour Flush Connected To Sewerage,Percent,,17.59
2008,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour FlushConnected To Septic Tank,Percent,,21.1
2009,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour FlushConnected To Septic Tank,Percent,,24.3
2010,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour FlushConnected To Septic Tank,Percent,,30.0
2011,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour FlushConnected To Septic Tank,Percent,,33.1
2012,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour FlushConnected To Septic Tank,Percent,,33.5
2013,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour FlushConnected To Septic Tank,Percent,,39.9
2014,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour FlushConnected To Septic Tank,Percent,,42.8
2015,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour FlushConnected To Septic Tank,Percent,,48.3
2016,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour FlushConnected To Septic Tank,Percent,,59.0
2017,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour FlushConnected To Septic Tank,Percent,,63.1
2019,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pour FlushConnected To Septic Tank,Percent,,61.89
2008,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pit Latrine With Slab,Percent,,2.0
2009,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pit Latrine With Slab,Percent,,0.8
2010,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pit Latrine With Slab,Percent,,0.9
2011,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pit Latrine With Slab,Percent,,1.5
2012,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pit Latrine With Slab,Percent,,1.2
2013,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pit Latrine With Slab,Percent,,0.5
2014,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pit Latrine With Slab,Percent,,0.7
2015,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pit Latrine With Slab,Percent,,0.9
2016,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pit Latrine With Slab,Percent,,0.5
2017,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pit Latrine With Slab,Percent,,1.0
2019,6.2.1 Proportion of population using an improved sanitation facility,,,Type of toilet: Pit Latrine With Slab,Percent,,0.88
1993,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,17.5
1996,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,32.3
1997,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,30.2
1999,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,34.3
2004,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,70.3
2007,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,76.1
2008,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,75.9
2009,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,84.8
2010,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,86.4
2011,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,87.4
2012,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,86.4
2013,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,93.0
2014,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,89.0
2015,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,92.1
2016,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,93.6
2017,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,94.4
2019,6.2.1 Proportion of population using an improved sanitation facility,,Urban,,Percent,,90.57
1993,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,6.2
1996,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,7.9
1997,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,7.8
1999,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,10.1
2004,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,14.8
2007,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,20.3
2008,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,22.8
2009,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,22.9
2010,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,29.2
2011,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,33.2
2012,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,33.3
2013,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,40.9
2014,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,46.9
2015,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,53.7
2016,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,67.4
2017,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,71.2
2019,6.2.1 Proportion of population using an improved sanitation facility,,Rural,,Percent,,74.15
