Year,SERIES,តំបន់យោង,ភេទ,UNIT_MEASURE,GeoCode,Value
1993,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,5.0
1998,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,3.93
2003,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,7.5
2008,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,15.1
2013,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,17.58
2018,៥.៥.២ សមាមាត្រស្តី្រជា អនុរដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,16.87
1993,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,0.0
1998,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,6.0
2003,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,6.6
2008,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,8.0
2013,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,20.54
2018,៥.៥.២ សមាមាត្រស្តី្រជា រដ្ឋលេខាធិការ,,ស្រី,ភាគរយ,,16.36
