Year,SERIES,តំបន់យោង,ភេទ,អាយុ,UNIT_MEASURE,GeoCode,Value
2015,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,12.4
2016,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,10.9
2017,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,10.5
2018,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,11.6
2019,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,12.7
2020,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,13.8
2018,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,ស្រី,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,11.3
2019,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,ស្រី,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,11.6
2020,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,ស្រី,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,12.0
2018,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,ប្រុស,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,12.2
2019,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,ប្រុស,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,14.3
2020,៤.៣.១ អត្រារួមនៃការសិក្សានៅឧត្តមសិក្សា(អាយុពី១៨ ដល់២១ឆ្នាំ) បែងចែកតាមភេទ,,ប្រុស,អាយុពី ១៨ ទៅ ២១ ឆ្នាំ,ភាគរយ,,15.5
