Year,SERIES,តំបន់យោង,UNIT_MEASURE,GeoCode,Value
2005,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,1769327
2006,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,2340235
2007,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,2979116
2008,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,2878513
2009,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,2524294
2010,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,3051601
2011,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,3480843
2012,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,3997331
2013,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,4606281
2014,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,5168687
2015,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,5606317
2016,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,6201338
2017,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,6877284
2018,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,7626908
2019,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,8458241
2020,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ),,ចំនួន,,9380189
2005,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,158384
2006,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,159478
2007,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,187066
2008,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,182328
2009,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,143649
2010,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,136678
2011,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,144465
2012,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,172223
2013,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,214418
2014,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,298904
2015,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,436167
2016,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,423478
2017,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,432795
2018,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,442316
2019,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,452047
2020,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក),,ចំនួន,,461992
