Year,SERIES,តំបន់យោង,UNIT_MEASURE,GeoCode,Value
2007,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,10.8
2008,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,11.9
2009,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,12.2
2010,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,12.7
2011,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,13.1
2012,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,13.3
2013,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,13.3
2014,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,14.9
2015,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,14.7
2016,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,12.0
2017,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,11.3
2018,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,11.0
2019,៣.៧.១ របួសនិងស្លាប់ដោយគ្រោះថ្នាក់,,ក្នុងមួយប្រជាជន ១០០.០០០ នាក់,,12.2
