Year,SERIES,តំបន់យោង,UNIT_MEASURE,GeoCode,Value
2005,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,16908.0
2006,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,22676.0
2007,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,26033.0
2008,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,21985.0
2009,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,15119.0
2010,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,17678.0
2011,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,20083.0
2012,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,27811.0
2013,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,31612.0
2014,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,32666.0
2015,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,36898.0
2016,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,46308.0
2017,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,53856.0
2018,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,62635.0
2019,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,72844.0
2020,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(អន្តរជាតិ),,តោន,,84718.0
2005,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,65.0
2006,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,91.0
2007,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,398.0
2008,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,124.0
2009,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,75.0
2010,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,0.21
2011,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,124.0
2012,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,5.0
2013,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,62.0
2014,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,183.0
2015,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,252.0
2016,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,153.0
2017,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,132.0
2018,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,114.0
2019,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,99.0
2020,៩.១.៣ បរិមាណទំនិញដឹកជញ្ជូន(ក្នុងស្រុក),,តោន,,86.0
