Year,SERIES,តំបន់យោង,ភេទ,អាយុ,កំរិតនគរូបនីយកម្ម,ប្រាក់ចំណូលឬទ្រព្យសម្បត្តិមានចំនួនច្រើន,UNIT_MEASURE,GeoCode,Value
2000,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,110.1
2005,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,97.0
2010,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,59.0
2014,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,ស្រី,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,41.0
2000,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,132.8
2005,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,115.0
2010,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,76.0
2014,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,ប្រុស,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,54.0
2000,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,124.4
2005,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,83.0
2010,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,54.0
2014,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,35.0
2021,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,,ក្នុង ១០០ កំណើតរស់,,16.0
2005,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ក្នុង ១០០ កំណើតរស់,,127.0
2010,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ក្នុង ១០០ កំណើតរស់,,90.0
2014,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ១ (ក្របំផុត),ក្នុង ១០០ កំណើតរស់,,76.0
2005,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ២,ក្នុង ១០០ កំណើតរស់,,129.0
2010,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ២,ក្នុង ១០០ កំណើតរស់,,83.0
2014,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ២,ក្នុង ១០០ កំណើតរស់,,56.0
2005,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៣,ក្នុង ១០០ កំណើតរស់,,114.0
2010,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៣,ក្នុង ១០០ កំណើតរស់,,68.0
2014,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៣,ក្នុង ១០០ កំណើតរស់,,41.0
2005,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៤,ក្នុង ១០០ កំណើតរស់,,92.0
2010,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៤,ក្នុង ១០០ កំណើតរស់,,49.0
2014,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៤,ក្នុង ១០០ កំណើតរស់,,33.0
2005,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ក្នុង ១០០ កំណើតរស់,,43.0
2010,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ក្នុង ១០០ កំណើតរស់,,30.0
2014,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,,ឃ្វីនទី ៥ (មានជាងគេបំផុត),ក្នុង ១០០ កំណើតរស់,,19.0
2000,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,,92.6
2005,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,,76.0
2010,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,,29.0
2014,៣.៣.១ អត្រាមរណភាពកុមារអាយុក្រោម៥ឆ្នាំ,,,អាយុក្រោម ៥ ឆ្នាំ,ទីប្រជុំជន,,ក្នុង ១០០ កំណើតរស់,,18.0
