Year,Value,GeoCode,UNIT_MEASURE,SERIES
1993,9.5,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
1996,11.9,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
1997,9.0,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
1999,10.6,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2004,14.2,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2007,20.2,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2008,24.2,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2009,25.6,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2010,32.5,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2011,37.4,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2012,42.3,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2013,50.9,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2014,59.8,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2015,67.4,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2016,80.9,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2017,85.9,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
2019,85.8,,ភាគរយ,៧.១.១ ប្រជាជនដែលទទួលបានអគ្គិសនីប្រើប្រាស់
