Year,Value,GeoCode,UNIT_MEASURE,SERIES
2004,46.8,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2005,42.9,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2006,90.1,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2007,86.2,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2008,85.6,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2009,83.2,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2010,85.3,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2011,89.7,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2012,87.4,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2013,88.9,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2014,84.1,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2015,80.6,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2016,79.9,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2017,79.1,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2018,82.1,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
2019,83.3,,ភាគរយ,៤.១.១.១ អត្រាបញ្ចប់ការសិក្សានៅបឋមសិក្សា
