Year,Value,GeoCode,UNIT_MEASURE,SERIES
2000,3482,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2001,5096,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2002,6564,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2003,7152,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2004,7671,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2005,8632,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2006,9049,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2007,11779,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2008,20108,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2009,291589,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2010,193858,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2011,1689389,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2012,2706922,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2013,3861979,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2014,5025945,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2015,6443976,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2016,8099132,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2017,10841728,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
2018,13611398,,ចំនួន,១៧.៨.១ អ្នកប្រើប្រាស់អ៊ិនធើណែត
