Year,Value,GeoCode,UNIT_MEASURE,SERIES
2005,1769327,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2006,2340235,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2007,2979116,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2008,2878513,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2009,2524294,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2010,3051601,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2011,3480843,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2012,3997331,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2013,4606281,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2014,5168687,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2015,5606317,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2016,6201338,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2017,6877284,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2018,7626908,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2019,8458241,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2020,9380189,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (អន្តរជាតិ)
2005,158384,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2006,159478,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2007,187066,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2008,182328,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2009,143649,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2010,136678,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2011,144465,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2012,172223,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2013,214418,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2014,298904,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2015,436167,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2016,423478,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2017,432795,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2018,442316,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2019,452047,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
2020,461992,,ចំនួន,៩.១.២ ចំនួនអ្នកដំណើរតាមអាកាស (ក្នុងស្រុក)
