Year,SERIES,Reference area,Sex,UNIT_MEASURE,GeoCode,Value
1993,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,5.83
1994,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,4.17
1995,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,4.17
1996,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,4.17
1997,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,4.17
1998,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,10.66
1999,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,10.66
2000,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,10.66
2001,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,10.66
2002,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,10.66
2003,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,10.66
2008,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,20.33
2009,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,20.33
2010,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,21.14
2011,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,21.95
2012,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,21.95
2013,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,21.95
2014,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,15.45
2015,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,15.45
2016,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,15.45
2017,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,15.45
2018,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,15.2
2019,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,15.2
2020,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,15.2
2021,5.5.1 Proportion of seats held by women in legislative organs,,Female,Percent,,15.2
1993,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
1994,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
1995,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
1996,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
1997,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
1999,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2000,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2001,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2002,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2003,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2008,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2009,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2010,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2011,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2012,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2013,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2014,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2015,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2016,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2017,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2018,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2019,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2020,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
2021,5.5.1 Proportion of seats held by women in legislative organs,Stung Treng,Female,Percent,KH19,0.0
1993,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
1994,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,0.0
1995,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,0.0
1996,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,0.0
1997,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,0.0
1998,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
1999,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2000,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2001,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2002,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2003,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2008,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2009,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2010,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2011,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2012,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2013,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2014,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,66.67
2015,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,66.67
2016,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,66.67
2017,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,66.67
2018,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2019,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2020,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
2021,5.5.1 Proportion of seats held by women in legislative organs,Kratie,Female,Percent,KH10,33.33
1993,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,0.0
1994,5.5.1 Proportion of seats held by women in legislative organs,Siemreap,Female,Percent,KH17,0.0
