Year,SERIES,Reference area,Sex,Age,UNIT_MEASURE,GeoCode,Value
2014,4.6.1 Literacy rate by age group,,Female,6 to 14 years old,Percent,,66.4
2015,4.6.1 Literacy rate by age group,,Female,6 to 14 years old,Percent,,72.3
2016,4.6.1 Literacy rate by age group,,Female,6 to 14 years old,Percent,,74.9
2017,4.6.1 Literacy rate by age group,,Female,6 to 14 years old,Percent,,71.0
2019,4.6.1 Literacy rate by age group,,Female,6 to 14 years old,Percent,,78.2
2014,4.6.1 Literacy rate by age group,,Female,6 years old and over,Percent,,70.8
2015,4.6.1 Literacy rate by age group,,Female,6 years old and over,Percent,,74.5
2016,4.6.1 Literacy rate by age group,,Female,6 years old and over,Percent,,78.4
2017,4.6.1 Literacy rate by age group,,Female,6 years old and over,Percent,,76.7
2019,4.6.1 Literacy rate by age group,,Female,6 years old and over,Percent,,77.3
2004,4.6.1 Literacy rate by age group,,Female,7 to 14 years old,Percent,,62.5
2007,4.6.1 Literacy rate by age group,,Female,7 to 14 years old,Percent,,66.1
2008,4.6.1 Literacy rate by age group,,Female,7 to 14 years old,Percent,,67.9
2009,4.6.1 Literacy rate by age group,,Female,7 to 14 years old,Percent,,70.3
2010,4.6.1 Literacy rate by age group,,Female,7 to 14 years old,Percent,,73.2
2011,4.6.1 Literacy rate by age group,,Female,7 to 14 years old,Percent,,71.8
2012,4.6.1 Literacy rate by age group,,Female,7 to 14 years old,Percent,,61.2
2013,4.6.1 Literacy rate by age group,,Female,7 to 14 years old,Percent,,64.5
2004,4.6.1 Literacy rate by age group,,Female,7 years old and over,Percent,,60.5
2007,4.6.1 Literacy rate by age group,,Female,7 years old and over,Percent,,66.0
2008,4.6.1 Literacy rate by age group,,Female,7 years old and over,Percent,,67.7
2009,4.6.1 Literacy rate by age group,,Female,7 years old and over,Percent,,66.8
2010,4.6.1 Literacy rate by age group,,Female,7 years old and over,Percent,,69.9
2011,4.6.1 Literacy rate by age group,,Female,7 years old and over,Percent,,72.5
2012,4.6.1 Literacy rate by age group,,Female,7 years old and over,Percent,,70.6
2013,4.6.1 Literacy rate by age group,,Female,7 years old and over,Percent,,72.5
2004,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,76.8
2007,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,84.4
2008,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,87.9
2009,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,85.8
2010,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,88.2
2011,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,91.3
2012,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,91.3
2013,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,92.8
2014,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,90.4
2015,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,92.6
2016,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,95.9
2017,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,95.7
2019,4.6.1 Literacy rate by age group,,Female,15 to 24 years old,Percent,,95.1
2004,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,59.9
2007,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,66.0
2008,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,67.7
2009,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,65.9
2010,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,69.1
2011,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,72.6
2012,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,73.2
2013,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,74.4
2014,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,71.8
2015,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,75.0
2016,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,79.3
2017,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,78.1
2019,4.6.1 Literacy rate by age group,,Female,15 years old and over,Percent,,77.1
2004,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,63.7
2007,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,69.9
2008,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,71.7
2009,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,69.0
2010,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,74.9
2011,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,79.2
2012,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,78.3
2013,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,82.0
2014,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,79.1
2015,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,82.1
2016,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,87.5
2017,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,85.7
2019,4.6.1 Literacy rate by age group,,Female,25 to 34 years old,Percent,,88.0
2004,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,56.6
2007,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,64.1
2008,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,67.0
2009,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,63.5
2010,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,66.8
2011,4.6.1 Literacy rate by age group,,Female,35 to 44 years old,Percent,,69.3
