Year,SERIES,Reference area,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
1993,7.1.1 Proportion of population with access to electricity,,,Percent,,9.5
1996,7.1.1 Proportion of population with access to electricity,,,Percent,,11.9
1997,7.1.1 Proportion of population with access to electricity,,,Percent,,9.0
1999,7.1.1 Proportion of population with access to electricity,,,Percent,,10.6
2004,7.1.1 Proportion of population with access to electricity,,,Percent,,14.2
2007,7.1.1 Proportion of population with access to electricity,,,Percent,,20.2
2008,7.1.1 Proportion of population with access to electricity,,,Percent,,24.2
2009,7.1.1 Proportion of population with access to electricity,,,Percent,,25.6
2010,7.1.1 Proportion of population with access to electricity,,,Percent,,32.5
2011,7.1.1 Proportion of population with access to electricity,,,Percent,,37.4
2012,7.1.1 Proportion of population with access to electricity,,,Percent,,42.3
2013,7.1.1 Proportion of population with access to electricity,,,Percent,,50.9
2014,7.1.1 Proportion of population with access to electricity,,,Percent,,59.8
2015,7.1.1 Proportion of population with access to electricity,,,Percent,,67.4
2016,7.1.1 Proportion of population with access to electricity,,,Percent,,80.9
2017,7.1.1 Proportion of population with access to electricity,,,Percent,,85.9
2019,7.1.1 Proportion of population with access to electricity,,,Percent,,85.8
1993,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,30.2
1996,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,29.3
1997,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,22.3
1999,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,24.4
2004,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,44.0
2007,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,56.0
2008,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,62.1
2009,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,76.7
2010,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,78.1
2011,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,80.9
2012,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,87.0
2013,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,94.3
2014,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,91.8
2015,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,94.3
2016,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,93.4
2017,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,96.6
2019,7.1.1 Proportion of population with access to electricity,,Urban,Percent,,96.8
1993,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,3.0
1996,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,5.3
1997,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,2.2
1999,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,2.4
2004,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,2.3
2007,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,10.3
2008,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,11.3
2009,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,11.5
2010,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,18.8
2011,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,24.0
2012,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,26.8
2013,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,37.9
2014,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,48.3
2015,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,63.3
2016,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,76.4
2017,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,82.4
2019,7.1.1 Proportion of population with access to electricity,,Rural,Percent,,79.1
