Year,SERIES,Reference area,Sex,Age,Degree of urbanisation,Income or wealth quantile,UNIT_MEASURE,GeoCode,Value
2000,3.3.2 Neonatal mortality rate,,Female,under 1 month old,,,Per 100 live births,,34.1
2005,3.3.2 Neonatal mortality rate,,Female,under 1 month old,,,Per 100 live births,,30.0
2010,3.3.2 Neonatal mortality rate,,Female,under 1 month old,,,Per 100 live births,,27.0
2014,3.3.2 Neonatal mortality rate,,Female,under 1 month old,,,Per 100 live births,,20.0
2000,3.3.2 Neonatal mortality rate,,Female,under 1 year old,,,Per 100 live births,,34.1
2005,3.3.2 Neonatal mortality rate,,Female,under 1 year old,,,Per 100 live births,,30.0
2010,3.3.2 Neonatal mortality rate,,Female,under 1 year old,,,Per 100 live births,,27.0
2014,3.3.2 Neonatal mortality rate,,Female,under 1 year old,,,Per 100 live births,,20.0
2000,3.3.2 Neonatal mortality rate,,Male,under 1 month old,,,Per 100 live births,,44.0
2005,3.3.2 Neonatal mortality rate,,Male,under 1 month old,,,Per 100 live births,,42.0
2010,3.3.2 Neonatal mortality rate,,Male,under 1 month old,,,Per 100 live births,,36.0
2014,3.3.2 Neonatal mortality rate,,Male,under 1 month old,,,Per 100 live births,,22.0
2000,3.3.2 Neonatal mortality rate,,Male,under 1 year old,,,Per 100 live births,,44.0
2005,3.3.2 Neonatal mortality rate,,Male,under 1 year old,,,Per 100 live births,,42.0
2010,3.3.2 Neonatal mortality rate,,Male,under 1 year old,,,Per 100 live births,,36.0
2014,3.3.2 Neonatal mortality rate,,Male,under 1 year old,,,Per 100 live births,,22.0
2000,3.3.2 Neonatal mortality rate,,,under 1 month old,,,Per 100 live births,,37.3
2005,3.3.2 Neonatal mortality rate,,,under 1 month old,,,Per 100 live births,,28.0
2010,3.3.2 Neonatal mortality rate,,,under 1 month old,,,Per 100 live births,,27.0
2014,3.3.2 Neonatal mortality rate,,,under 1 month old,,,Per 100 live births,,18.0
2021,3.3.2 Neonatal mortality rate,,,under 1 month old,,,Per 100 live births,,8.0
2005,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 1 (poorest),Per 100 live births,,34.0
2010,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 1 (poorest),Per 100 live births,,39.0
2014,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 1 (poorest),Per 100 live births,,27.0
2005,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 2,Per 100 live births,,45.0
2010,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 2,Per 100 live births,,34.0
2014,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 2,Per 100 live births,,23.0
2005,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 3,Per 100 live births,,38.0
2010,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 3,Per 100 live births,,35.0
2014,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 3,Per 100 live births,,24.0
2005,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 4,Per 100 live births,,38.0
2010,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 4,Per 100 live births,,26.0
2014,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 4,Per 100 live births,,18.0
2005,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 5 (richest),Per 100 live births,,22.0
2010,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 5 (richest),Per 100 live births,,16.0
2014,3.3.2 Neonatal mortality rate,,,under 1 month old,,Quintile 5 (richest),Per 100 live births,,12.0
2000,3.3.2 Neonatal mortality rate,,,under 1 month old,Urban,,Per 100 live births,,27.0
2005,3.3.2 Neonatal mortality rate,,,under 1 month old,Urban,,Per 100 live births,,29.0
2010,3.3.2 Neonatal mortality rate,,,under 1 month old,Urban,,Per 100 live births,,11.0
2014,3.3.2 Neonatal mortality rate,,,under 1 month old,Urban,,Per 100 live births,,10.0
2000,3.3.2 Neonatal mortality rate,,,under 1 month old,Rural,,Per 100 live births,,40.9
2005,3.3.2 Neonatal mortality rate,,,under 1 month old,Rural,,Per 100 live births,,37.0
2010,3.3.2 Neonatal mortality rate,,,under 1 month old,Rural,,Per 100 live births,,35.0
2014,3.3.2 Neonatal mortality rate,,,under 1 month old,Rural,,Per 100 live births,,23.0
2000,3.3.2 Neonatal mortality rate,,,under 1 year old,,,Per 100 live births,,37.3
2005,3.3.2 Neonatal mortality rate,,,under 1 year old,,,Per 100 live births,,28.0
2010,3.3.2 Neonatal mortality rate,,,under 1 year old,,,Per 100 live births,,27.0
2014,3.3.2 Neonatal mortality rate,,,under 1 year old,,,Per 100 live births,,18.0
2021,3.3.2 Neonatal mortality rate,,,under 1 year old,,,Per 100 live births,,8.0
2005,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 1 (poorest),Per 100 live births,,34.0
2010,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 1 (poorest),Per 100 live births,,39.0
2014,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 1 (poorest),Per 100 live births,,27.0
2005,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 2,Per 100 live births,,45.0
2010,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 2,Per 100 live births,,34.0
2014,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 2,Per 100 live births,,23.0
2005,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 3,Per 100 live births,,38.0
2010,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 3,Per 100 live births,,35.0
2014,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 3,Per 100 live births,,24.0
2005,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 4,Per 100 live births,,38.0
2010,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 4,Per 100 live births,,26.0
2014,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 4,Per 100 live births,,18.0
2005,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 5 (richest),Per 100 live births,,22.0
2010,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 5 (richest),Per 100 live births,,16.0
2014,3.3.2 Neonatal mortality rate,,,under 1 year old,,Quintile 5 (richest),Per 100 live births,,12.0
2000,3.3.2 Neonatal mortality rate,,,under 1 year old,Urban,,Per 100 live births,,27.0
2005,3.3.2 Neonatal mortality rate,,,under 1 year old,Urban,,Per 100 live births,,29.0
2010,3.3.2 Neonatal mortality rate,,,under 1 year old,Urban,,Per 100 live births,,11.0
2014,3.3.2 Neonatal mortality rate,,,under 1 year old,Urban,,Per 100 live births,,10.0
2000,3.3.2 Neonatal mortality rate,,,under 1 year old,Rural,,Per 100 live births,,40.9
2005,3.3.2 Neonatal mortality rate,,,under 1 year old,Rural,,Per 100 live births,,37.0
2010,3.3.2 Neonatal mortality rate,,,under 1 year old,Rural,,Per 100 live births,,35.0
2014,3.3.2 Neonatal mortality rate,,,under 1 year old,Rural,,Per 100 live births,,23.0
2000,3.3.2 Neonatal mortality rate,Banteay Meanchey,,under 1 month old,,,Per 100 live births,KH01,31.4
2005,3.3.2 Neonatal mortality rate,Banteay Meanchey,,under 1 month old,,,Per 100 live births,KH01,34.0
2010,3.3.2 Neonatal mortality rate,Banteay Meanchey,,under 1 month old,,,Per 100 live births,KH01,26.0
2014,3.3.2 Neonatal mortality rate,Banteay Meanchey,,under 1 month old,,,Per 100 live births,KH01,20.0
2000,3.3.2 Neonatal mortality rate,Kampong Cham,,under 1 month old,,,Per 100 live births,KH03,38.7
2005,3.3.2 Neonatal mortality rate,Kampong Cham,,under 1 month old,,,Per 100 live births,KH03,35.0
2010,3.3.2 Neonatal mortality rate,Kampong Cham,,under 1 month old,,,Per 100 live births,KH03,33.0
2014,3.3.2 Neonatal mortality rate,Kampong Cham,,under 1 month old,,,Per 100 live births,KH03,25.0
2000,3.3.2 Neonatal mortality rate,Kampong Chhnang,,under 1 month old,,,Per 100 live births,KH04,41.9
2005,3.3.2 Neonatal mortality rate,Kampong Chhnang,,under 1 month old,,,Per 100 live births,KH04,36.0
2010,3.3.2 Neonatal mortality rate,Kampong Chhnang,,under 1 month old,,,Per 100 live births,KH04,45.0
2014,3.3.2 Neonatal mortality rate,Kampong Chhnang,,under 1 month old,,,Per 100 live births,KH04,27.0
2000,3.3.2 Neonatal mortality rate,Kampong Speu,,under 1 month old,,,Per 100 live births,KH05,26.4
2005,3.3.2 Neonatal mortality rate,Kampong Speu,,under 1 month old,,,Per 100 live births,KH05,41.0
2010,3.3.2 Neonatal mortality rate,Kampong Speu,,under 1 month old,,,Per 100 live births,KH05,39.0
2014,3.3.2 Neonatal mortality rate,Kampong Speu,,under 1 month old,,,Per 100 live births,KH05,19.0
2000,3.3.2 Neonatal mortality rate,Kampong Thom,,under 1 month old,,,Per 100 live births,KH06,38.8
2005,3.3.2 Neonatal mortality rate,Kampong Thom,,under 1 month old,,,Per 100 live births,KH06,38.0
2010,3.3.2 Neonatal mortality rate,Kampong Thom,,under 1 month old,,,Per 100 live births,KH06,29.0
2014,3.3.2 Neonatal mortality rate,Kampong Thom,,under 1 month old,,,Per 100 live births,KH06,29.0
2000,3.3.2 Neonatal mortality rate,Kandal,,under 1 month old,,,Per 100 live births,KH08,38.8
2005,3.3.2 Neonatal mortality rate,Kandal,,under 1 month old,,,Per 100 live births,KH08,30.0
2010,3.3.2 Neonatal mortality rate,Kandal,,under 1 month old,,,Per 100 live births,KH08,34.0
2014,3.3.2 Neonatal mortality rate,Kandal,,under 1 month old,,,Per 100 live births,KH08,17.0
2000,3.3.2 Neonatal mortality rate,Koh Kong,,under 1 month old,,,Per 100 live births,KH09,31.5
2005,3.3.2 Neonatal mortality rate,Kratie,,under 1 month old,,,Per 100 live births,KH10,37.0
2010,3.3.2 Neonatal mortality rate,Kratie,,under 1 month old,,,Per 100 live births,KH10,47.0
2014,3.3.2 Neonatal mortality rate,Kratie,,under 1 month old,,,Per 100 live births,KH10,30.0
