Year,Value,GeoCode,UNIT_MEASURE,SERIES
1994,-34.8,,Percent,8.1.1 Annual GDP growth rate at constant prices
1995,9.9,,Percent,8.1.1 Annual GDP growth rate at constant prices
1996,5.9,,Percent,8.1.1 Annual GDP growth rate at constant prices
1997,4.0,,Percent,8.1.1 Annual GDP growth rate at constant prices
1998,4.7,,Percent,8.1.1 Annual GDP growth rate at constant prices
1999,12.7,,Percent,8.1.1 Annual GDP growth rate at constant prices
2000,10.7,,Percent,8.1.1 Annual GDP growth rate at constant prices
2001,7.4,,Percent,8.1.1 Annual GDP growth rate at constant prices
2002,6.6,,Percent,8.1.1 Annual GDP growth rate at constant prices
2003,8.5,,Percent,8.1.1 Annual GDP growth rate at constant prices
2004,10.3,,Percent,8.1.1 Annual GDP growth rate at constant prices
2005,13.3,,Percent,8.1.1 Annual GDP growth rate at constant prices
2006,10.8,,Percent,8.1.1 Annual GDP growth rate at constant prices
2007,10.2,,Percent,8.1.1 Annual GDP growth rate at constant prices
2008,6.7,,Percent,8.1.1 Annual GDP growth rate at constant prices
2009,0.1,,Percent,8.1.1 Annual GDP growth rate at constant prices
2010,6.0,,Percent,8.1.1 Annual GDP growth rate at constant prices
2011,7.1,,Percent,8.1.1 Annual GDP growth rate at constant prices
2012,7.3,,Percent,8.1.1 Annual GDP growth rate at constant prices
2013,7.4,,Percent,8.1.1 Annual GDP growth rate at constant prices
2014,7.1,,Percent,8.1.1 Annual GDP growth rate at constant prices
2015,7.0,,Percent,8.1.1 Annual GDP growth rate at constant prices
2016,7.0,,Percent,8.1.1 Annual GDP growth rate at constant prices
2017,7.0,,Percent,8.1.1 Annual GDP growth rate at constant prices
2018,7.5,,Percent,8.1.1 Annual GDP growth rate at constant prices
2019,7.1,,Percent,8.1.1 Annual GDP growth rate at constant prices
