Year,Value,GeoCode,UNIT_MEASURE,SERIES
2007,10.8,,"Per 100,000 population",3.7.1 Injury and death due to accident
2008,11.9,,"Per 100,000 population",3.7.1 Injury and death due to accident
2009,12.2,,"Per 100,000 population",3.7.1 Injury and death due to accident
2010,12.7,,"Per 100,000 population",3.7.1 Injury and death due to accident
2011,13.1,,"Per 100,000 population",3.7.1 Injury and death due to accident
2012,13.3,,"Per 100,000 population",3.7.1 Injury and death due to accident
2013,13.3,,"Per 100,000 population",3.7.1 Injury and death due to accident
2014,14.9,,"Per 100,000 population",3.7.1 Injury and death due to accident
2015,14.7,,"Per 100,000 population",3.7.1 Injury and death due to accident
2016,12.0,,"Per 100,000 population",3.7.1 Injury and death due to accident
2017,11.3,,"Per 100,000 population",3.7.1 Injury and death due to accident
2018,11.0,,"Per 100,000 population",3.7.1 Injury and death due to accident
2019,12.2,,"Per 100,000 population",3.7.1 Injury and death due to accident
