Year,Value,GeoCode,UNIT_MEASURE,SERIES
1993,9.5,,Percent,7.1.1 Proportion of population with access to electricity
1996,11.9,,Percent,7.1.1 Proportion of population with access to electricity
1997,9.0,,Percent,7.1.1 Proportion of population with access to electricity
1999,10.6,,Percent,7.1.1 Proportion of population with access to electricity
2004,14.2,,Percent,7.1.1 Proportion of population with access to electricity
2007,20.2,,Percent,7.1.1 Proportion of population with access to electricity
2008,24.2,,Percent,7.1.1 Proportion of population with access to electricity
2009,25.6,,Percent,7.1.1 Proportion of population with access to electricity
2010,32.5,,Percent,7.1.1 Proportion of population with access to electricity
2011,37.4,,Percent,7.1.1 Proportion of population with access to electricity
2012,42.3,,Percent,7.1.1 Proportion of population with access to electricity
2013,50.9,,Percent,7.1.1 Proportion of population with access to electricity
2014,59.8,,Percent,7.1.1 Proportion of population with access to electricity
2015,67.4,,Percent,7.1.1 Proportion of population with access to electricity
2016,80.9,,Percent,7.1.1 Proportion of population with access to electricity
2017,85.9,,Percent,7.1.1 Proportion of population with access to electricity
2019,85.8,,Percent,7.1.1 Proportion of population with access to electricity
