Year,SERIES,Reference area,Sex,Degree of urbanisation,UNIT_MEASURE,GeoCode,Value
2004,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,45.7
2005,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,42.2
2006,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,89.8
2007,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,88.0
2008,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,85.7
2009,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,83.6
2010,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,85.0
2011,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,89.9
2012,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,87.8
2013,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,90.2
2014,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,86.6
2015,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,84.0
2016,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,83.2
2017,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,82.7
2018,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,86.1
2019,4.1.1.1 Completion rate Grade 6,,Female,,Percent,,87.6
2004,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,56.4
2005,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,54.2
2006,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,94.9
2007,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,91.5
2008,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,88.3
2009,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,84.4
2010,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,88.2
2011,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,78.8
2012,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,79.2
2013,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,78.6
2014,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,76.6
2015,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,75.2
2016,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,74.0
2017,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,72.5
2018,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,77.1
2019,4.1.1.1 Completion rate Grade 6,,Female,Urban,Percent,,77.2
2004,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,44.5
2005,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,41.1
2006,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,90.5
2007,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,88.8
2008,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,87.0
2009,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,83.5
2010,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,84.4
2011,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,92.4
2012,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,90.2
2013,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,92.8
2014,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,88.8
2015,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,86.0
2016,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,85.4
2017,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,85.1
2018,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,88.2
2019,4.1.1.1 Completion rate Grade 6,,Female,Rural,Percent,,90.1
2004,4.1.1.1 Completion rate Grade 6,,Female,Remote Area,Percent,,25.3
2005,4.1.1.1 Completion rate Grade 6,,Female,Remote Area,Percent,,22.8
2006,4.1.1.1 Completion rate Grade 6,,Female,Remote Area,Percent,,52.2
2007,4.1.1.1 Completion rate Grade 6,,Female,Remote Area,Percent,,56.2
2008,4.1.1.1 Completion rate Grade 6,,Female,Remote Area,Percent,,60.4
2005,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,43.5
2006,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,90.4
2007,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,84.7
2008,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,85.4
2009,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,82.8
2010,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,85.6
2011,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,89.6
2012,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,86.9
2013,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,87.8
2014,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,81.8
2015,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,77.5
2016,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,76.7
2017,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,75.7
2018,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,78.5
2019,4.1.1.1 Completion rate Grade 6,,Male,,Percent,,79.4
2005,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,54.5
2006,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,103.1
2007,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,91.6
2008,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,93.7
2009,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,84.3
2010,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,93.7
2011,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,77.2
2012,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,79.0
2013,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,75.3
2014,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,71.8
2015,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,70.2
2016,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,68.3
2017,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,66.3
2018,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,69.2
2019,4.1.1.1 Completion rate Grade 6,,Male,Urban,Percent,,69.4
2005,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,42.3
2006,4.1.1.1 Completion rate Grade 6,,Male,Rural,Percent,,89.6
