Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2020,N_KH_180201_01,KH15,NUMBER,KH15,10
2018,N_KH_180201_01,KH14,NUMBER,KH14,0
2019,N_KH_180201_01,KH14,NUMBER,KH14,0
2020,N_KH_180201_01,KH14,NUMBER,KH14,0
2018,N_KH_180201_01,KH05,NUMBER,KH05,11
2019,N_KH_180201_01,KH05,NUMBER,KH05,0
2020,N_KH_180201_01,KH05,NUMBER,KH05,0
2018,N_KH_180201_01,KH23,NUMBER,KH23,0
2019,N_KH_180201_01,KH23,NUMBER,KH23,0
2020,N_KH_180201_01,KH23,NUMBER,KH23,0
2018,N_KH_180201_01,KH16,NUMBER,KH16,2
2019,N_KH_180201_01,KH16,NUMBER,KH16,12
2020,N_KH_180201_01,KH16,NUMBER,KH16,0
2018,N_KH_180201_01,KH09,NUMBER,KH09,1
2019,N_KH_180201_01,KH09,NUMBER,KH09,1
2020,N_KH_180201_01,KH09,NUMBER,KH09,0
2018,N_KH_180201_01,KH04,NUMBER,KH04,2
2019,N_KH_180201_01,KH04,NUMBER,KH04,0
2020,N_KH_180201_01,KH04,NUMBER,KH04,0
2018,N_KH_180201_01,KH12,NUMBER,KH12,1
2019,N_KH_180201_01,KH12,NUMBER,KH12,4
2020,N_KH_180201_01,KH12,NUMBER,KH12,0
2018,N_KH_180201_01,KH02,NUMBER,KH02,8
2019,N_KH_180201_01,KH02,NUMBER,KH02,11
2020,N_KH_180201_01,KH02,NUMBER,KH02,19
2018,N_KH_180201_01,KH25,NUMBER,KH25,1
2019,N_KH_180201_01,KH25,NUMBER,KH25,14
2020,N_KH_180201_01,KH25,NUMBER,KH25,2
2018,N_KH_180201_01,KH07,NUMBER,KH07,0
2019,N_KH_180201_01,KH07,NUMBER,KH07,0
2020,N_KH_180201_01,KH07,NUMBER,KH07,0
2018,N_KH_180201_01,KH11,NUMBER,KH11,2
2019,N_KH_180201_01,KH11,NUMBER,KH11,1
2020,N_KH_180201_01,KH11,NUMBER,KH11,1
2018,N_KH_180201_01,KH20,NUMBER,KH20,0
2019,N_KH_180201_01,KH20,NUMBER,KH20,2
2020,N_KH_180201_01,KH20,NUMBER,KH20,0
2018,N_KH_180201_01,KH01,NUMBER,KH01,3
2019,N_KH_180201_01,KH01,NUMBER,KH01,6
2020,N_KH_180201_01,KH01,NUMBER,KH01,7
2018,N_KH_180201_01,KH19,NUMBER,KH19,0
2019,N_KH_180201_01,KH19,NUMBER,KH19,0
2020,N_KH_180201_01,KH19,NUMBER,KH19,1
2018,N_KH_180201_01,KH10,NUMBER,KH10,3
2019,N_KH_180201_01,KH10,NUMBER,KH10,3
2020,N_KH_180201_01,KH10,NUMBER,KH10,4
2018,N_KH_180201_01,KH21,NUMBER,KH21,0
2019,N_KH_180201_01,KH21,NUMBER,KH21,0
2020,N_KH_180201_01,KH21,NUMBER,KH21,0
2018,N_KH_180201_01,KH22,NUMBER,KH22,5
2019,N_KH_180201_01,KH22,NUMBER,KH22,6
2020,N_KH_180201_01,KH22,NUMBER,KH22,3
2018,N_KH_180201_01,KH24,NUMBER,KH24,1
2019,N_KH_180201_01,KH24,NUMBER,KH24,2
2020,N_KH_180201_01,KH24,NUMBER,KH24,2
2018,N_KH_180201_01,KH03,NUMBER,KH03,2
2019,N_KH_180201_01,KH03,NUMBER,KH03,2
2020,N_KH_180201_01,KH03,NUMBER,KH03,0
2018,N_KH_180201_01,KH08,NUMBER,KH08,2
2019,N_KH_180201_01,KH08,NUMBER,KH08,3
2020,N_KH_180201_01,KH08,NUMBER,KH08,1
2018,N_KH_180201_01,KH18,NUMBER,KH18,0
2019,N_KH_180201_01,KH18,NUMBER,KH18,0
2020,N_KH_180201_01,KH18,NUMBER,KH18,0
2018,N_KH_180201_01,KH17,NUMBER,KH17,3
2019,N_KH_180201_01,KH17,NUMBER,KH17,1
2020,N_KH_180201_01,KH17,NUMBER,KH17,0
